Date,Open,Close,OC2,OPC2
01/01/2018,1.19985,1.19985,NaN,NaN
01/02/2018,1.20102,1.20583,NaN,NaN
01/03/2018,1.20581,1.20141,5.98E-03,0.4983969
01/04/2018,1.20142,1.2068,-4.42E-03,-0.3665461
01/05/2018,1.20679,1.20304,5.39E-03,0.4486336
01/08/2018,1.20265,1.19666,-1.01E-02,-0.8402339
01/09/2018,1.19666,1.19363,-9.41E-03,-0.7821871
01/10/2018,1.19363,1.19471,-3.03E-03,-0.2532099
01/11/2018,1.1947,1.20319,9.56E-03,0.8009173
01/12/2018,1.20319,1.21993,2.52E-02,2.110976
01/15/2018,1.21933,1.22634,2.32E-02,1.924059
01/16/2018,1.22634,1.22601,6.41E-03,0.5254402
01/17/2018,1.22595,1.21851,-7.83E-03,-0.6384872
01/18/2018,1.21846,1.22377,-7.50E-03,-0.6117351
01/19/2018,1.22374,1.22145,5.26E-03,0.431674
01/22/2018,1.22702,1.22614,0.00237,0.1936638
01/23/2018,1.22612,1.22982,8.37E-03,0.6852546
01/24/2018,1.22984,1.24076,1.46E-02,1.192355
01/25/2018,1.24071,1.23928,1.09E-02,0.8895575
01/26/2018,1.23928,1.24283,2.07E-03,0.1668388
01/29/2018,1.24232,1.23823,3.55E-03,0.2864609
01/30/2018,1.23818,1.24023,-4.60E-03,-0.3701269
01/31/2018,1.24018,1.2413,3.07E-03,0.2479343
02/01/2018,1.24131,1.25076,1.05E-02,0.8490357
02/02/2018,1.25075,1.24559,9.46E-03,0.762102
02/05/2018,1.2432,1.23661,-0.0141499,-1.131305
02/06/2018,1.23661,1.23766,-8.98E-03,-0.7209368
02/07/2018,1.23766,1.22626,-1.04E-02,-0.8369743
02/08/2018,1.22625,1.22465,-1.30E-02,-1.051179
02/09/2018,1.22466,1.2251,-1.61E-03,-0.1312871
02/12/2018,1.22483,1.22914,4.49E-03,0.3666368
02/13/2018,1.22914,1.23503,9.93E-03,0.8105472
02/14/2018,1.23499,1.24486,1.57E-02,1.278944
02/15/2018,1.24496,1.25058,0.0155499,1.25907
02/16/2018,1.25056,1.24041,0.0057199,0.4594814
02/19/2018,1.24015,1.24065,-1.02E-02,-0.8132213
02/20/2018,1.24064,1.23373,-6.68E-03,-0.5385326
02/21/2018,1.23376,1.22829,-0.0123601,-0.9962596
02/22/2018,1.22828,1.23305,-5.44E-03,-0.440939
02/23/2018,1.23301,1.22937,4.76E-03,0.3875328
02/26/2018,1.22928,1.23169,-3.68E-03,-0.2984462
02/27/2018,1.23169,1.22328,-6.09E-03,-0.4953793
02/28/2018,1.2233,1.21939,-1.23E-02,-0.998629
03/01/2018,1.21936,1.22671,-3.89E-03,-0.3179908
03/02/2018,1.22658,1.23186,1.25E-02,1.022643
03/05/2018,1.23248,1.23356,6.85E-03,0.5584046
03/06/2018,1.23356,1.24038,8.52E-03,0.6916376
03/07/2018,1.24037,1.2411,7.54E-03,0.611238
03/08/2018,1.24108,1.23104,7.20E-04,5.80E-02
03/09/2018,1.23103,1.23041,-1.07E-02,-0.8613306
03/11/2018,1.23094,1.23339,-6.30E-04,-5.12E-02
03/12/2018,1.23332,1.23894,8.53E-03,0.6932666
03/13/2018,1.23893,1.23673,5.55E-03,0.4499815
03/14/2018,1.23671,1.23043,-8.51E-03,-0.686877
03/15/2018,1.23039,1.22889,-7.84E-03,-0.6339328
03/18/2018,1.22817,1.23348,-1.54E-03,-0.1251648
03/19/2018,1.23348,1.22413,-4.76E-03,-0.3873339
03/20/2018,1.22412,1.23378,-9.35E-03,-0.7580133
03/21/2018,1.23376,1.23017,9.65E-03,0.7883143
03/22/2018,1.23017,1.23522,-3.61E-03,-0.2925979
03/26/2018,1.2347,1.24436,1.42E-02,1.153496
03/27/2018,1.24433,1.24022,9.14E-03,0.7399504
03/28/2018,1.24018,1.23085,-1.35E-02,-1.085698
03/29/2018,1.23081,1.23002,-0.0101999,-0.822427
03/30/2018,1.23003,1.232,-8.30E-04,-0.0674278
04/02/2018,1.23199,1.2301,1.98E-03,0.1609687
04/03/2018,1.23008,1.22705,-4.95E-03,-0.4017895
04/04/2018,1.22704,1.22776,-3.05E-03,-0.2479545
04/05/2018,1.22772,1.22397,-3.08E-03,-0.2509997
04/06/2018,1.22398,1.22792,-3.79E-03,-0.3086843
04/09/2018,1.22824,1.23204,8.07E-03,0.6593292
04/10/2018,1.23205,1.23555,7.63E-03,0.6213752
04/11/2018,1.23554,1.23666,4.62E-03,0.3749842
04/12/2018,1.23664,1.23264,1.11E-03,8.98E-02
04/13/2018,1.23263,1.23282,-4.02E-03,-0.3250672
04/16/2018,1.23278,1.23791,5.27E-03,0.427538
04/17/2018,1.23783,1.23696,5.09E-03,0.4128744
04/18/2018,1.23693,1.23736,-9.50E-04,-7.67E-02
04/19/2018,1.23737,1.23453,-2.43E-03,-0.1964559
04/20/2018,1.23451,1.22846,-8.90E-03,-0.719277
04/23/2018,1.22699,1.22084,-1.37E-02,-1.108924
04/24/2018,1.22082,1.2232,-7.62E-03,-0.6202869
04/25/2018,1.22318,1.21605,-4.79E-03,-0.3923486
04/26/2018,1.21608,1.21032,-1.29E-02,-1.052973
04/27/2018,1.21029,1.21291,-5.73E-03,-0.4712004
04/30/2018,1.21224,1.20777,2.59E-03,0.213998
05/01/2018,1.20768,1.19924,-1.37E-02,-1.127049
05/02/2018,1.19922,1.19504,-0.01273,-1.054009
05/03/2018,1.19504,1.19881,-4.20E-03,-0.3502203
05/04/2018,1.19877,1.1955,3.77E-03,0.3154701
05/07/2018,1.19557,1.1922,-6.61E-03,-0.5513831
05/08/2018,1.19215,1.18641,-9.09E-03,-0.7603568
05/09/2018,1.18638,1.18502,-7.18E-03,-0.6022459
05/10/2018,1.18502,1.19149,-1.39E-03,-0.1171585
05/11/2018,1.19151,1.19395,8.93E-03,0.7535812
05/14/2018,1.19385,1.19261,2.46E-03,0.2064644
05/15/2018,1.19261,1.18376,-1.02E-02,-0.8534704
05/16/2018,1.18376,1.18068,-1.19E-02,-1.000326
05/17/2018,1.18067,1.17936,-4.40E-03,-0.3716982
05/18/2018,1.17931,1.17689,-3.79E-03,-0.3210032
05/21/2018,1.17684,1.17912,-2.47E-03,-0.209437
05/22/2018,1.1791,1.17784,2.23E-03,0.1894764
05/23/2018,1.17784,1.16952,-9.60E-03,-0.8141601
